; Readable locations in D:\Miei Programmi\RemakeOv2\Modellismo.ov2
;
; Longitude,    Latitude, "Name"
   9.22389 ,   45.46889 , "Sala Guido Trenini Elettrici(Milano)MI->+390270126436"
   9.21633 ,   45.47080 , "Atlantia Di Paolo Vanoletti(Milano)MI->+390229510851"
   9.21326 ,   45.47267 , "Il Barone Rosso Di Radaelli Aldo & C. s(Milano)MI->+390229401492"
   9.21056 ,   45.47972 , "Manazza Anna Maria Giocattoli(Milano)MI->+390229401866"
   9.22262 ,   45.48606 , "Idrocolor Parente Di Parente Bruna Color(Milano)MI->+39022827582"
   9.23535 ,   45.48777 , "Stephenson's Di Pizzolla Aldo Il Treno(Milano)MI->+39022640606"
   9.55417 ,   45.49167 , "La S.n.c.(Casirate D'adda)BG->+390363879171"
   9.42333 ,   45.49861 , "Il Cartolaio Di Melzo & Gadgets(Melzo)MI->+39029550937"
   9.23669 ,   45.50247 , "La Meccanica S.a.s. Di Cicognini Marco &(Milano)MI->+39022591189"
   9.24139 ,   45.50306 , "Ripa S.r.l. Distribuzione Italiana(Milano)MI->+39022590965"
   9.29861 ,   45.54667 , "Lucifero(Brugherio)MI->+390392142642"
   9.22111 ,   45.55361 , "Crea Moda Di Musio Maria Isab(Cinisello Balsamo)MI->+39026185899"
   9.28432 ,   45.59075 , "F. Baracca D'imperio Teresa(Monza)MI->+39039365259"
   9.61472 ,   45.60444 , "Casa Del(Verdellino)BG->+390354821472"
   9.53194 ,   45.60583 , "Hobbyland(Capriate San Gervasio)BG->+390290987344"
   9.23194 ,   45.65000 , "Mella Di Beni Piergiorgio(Seregno)MI->+390362237755"
   9.49528 ,   45.67278 , "Tutto Di Riva(Medolago)BG->+390354933035"
   9.66561 ,   45.69550 , "Di Gamba Giuseppe(Bergamo)BG->+39035210127"
   9.21243 ,   45.69751 , "Supertoys Di Pozzoli Fiorenzo(Giussano)MI->+390362850409"
   9.72917 ,   45.73361 , "Modelltechnik S.n.c. Di Ghilard(Alzano Lombardo)BG->+39035511811"
   9.27556 ,   45.73389 , "Vigano' Paolo Giacomo Sta(Veduggio Con Colzano)MI->+390362910570"
   9.39944 ,   45.84528 , "Giulio(Lecco)LC->+390341361479"
   9.39306 ,   45.85056 , "Teorema Giocattoli(Lecco)LC->+390341361501"
   9.39182 ,   45.85486 , "Bimbo Mix S.r.l. Giocattoli(Lecco)LC->+390341361673"
